a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78
Galium palustre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium uliginosum;0;3;2;2;3;0;0;2;3;3;2;0;1;2;0;0;0;3;0;2;2;2;3;2;3;0;2;2;3;0;2;2;2;0;0;3;0;2;2;3;2;2;0;2;0;0;0
Galium verum;0;0;2;0;3;3;0;3;3;0;3;2;2;3;3;3;2;2;0;0;2;3;0;3;3;0;0;0;0;0;0;0;0;3;3;2;3;3;3;3;2;0;2;3;3;3;2
Gentiana pneumonanthe;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0
Geranium palustre;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Geum rivale;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;0;0;0;3;0;0;0;2;0;0;3;3;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0
Gladiolus imbricatus;3;4;0;0;4;0;3;0;0;0;3;3;0;3;2;3;0;0;2;3;2;2;3;3;2;7;0;0;0;0;2;3;0;0;0;0;0;4;2;2;0;0;1;3;0;0;0
Gymnadenia conopsea subsp. conopsea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;2;2;0;0;0;0;0;0;0
Heracleum sphondylium;2;2;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Holcus lanatus;3;0;0;0;0;3;0;3;0;0;4;3;2;4;0;3;0;3;0;0;4;0;3;3;0;0;2;2;0;0;3;2;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0
Hypericum maculatum;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Inula salicina;0;0;0;0;0;0;0;3;0;0;0;7;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;9
Iris sibirica;0;3;3;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;3;0;0;0;9;0;0;0;0;0;0;0;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncus articulatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncus conglomeratus;0;0;0;0;0;0;3;2;2;3;0;0;3;3;0;0;3;2;2;3;3;3;2;3;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Juncus effusus;0;0;0;0;0;0;2;3;0;2;0;0;3;3;0;0;3;2;2;2;3;2;3;2;3;3;0;4;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Juncus inflexus;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Lathyrus pratensis;7;4;2;0;2;2;3;0;2;0;2;3;3;3;0;3;3;2;3;3;3;3;0;0;2;3;0;2;3;0;2;0;0;0;2;3;2;2;0;0;0;2;0;3;0;2;2
Leontodon hispidus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
Leucanthemum vulgare;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;3;0;0;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;0;0;2;3;0
Linum catharticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;2;0;0
Listera ovata;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lotus uliginosus;3;3;0;0;0;2;0;3;3;0;0;0;2;0;0;2;0;0;0;0;3;2;3;0;2;3;2;3;3;0;3;3;0;3;2;2;2;2;2;2;0;0;2;3;3;3;0
Luzula multiflora;0;0;0;0;0;2;0;2;2;2;2;1;2;0;0;0;2;2;0;0;0;3;0;2;3;3;2;0;0;2;3;0;2;2;2;2;0;3;0;2;3;0;0;0;2;0;0
Lychnis flos-cuculi;2;2;2;2;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;1;2;2;0;2;2;2;2;2;2;2;0;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0
Lysimachia nummularia;3;2;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lysimachia vulgaris;0;0;3;0;0;0;4;4;0;4;7;0;7;4;3;0;4;0;7;0;8;4;4;0;0;4;0;4;0;4;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
