Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Cerastium arvense;ap;koe cor;0;8;NA;5;4;6;4;-0.602;0.315;-0.322;0.343;0.111666667;194.46;1.19;NA;21.694;Chamaephyte;0.1776;187153.7778;sv (by seed and vegetatively);cr
Ceratodon purpuraeus;sp;koe cor;0;8;NA;NA;2;NA;NA;NA;NA;NA;NA;0.035;NA;NA;NA;NA;moss;NA;NA;NA;NA
Chaerophyllum temulentum;ap;art vul;0;5;6;3;5;NA;8;-1.674;0.335;-0.941;0.242;0.491666667;249;783.1828877;20341;NA;Hemicryptophyte;2.737578947;4405.494048;s (by seed/by spore);cr
Chelidonium majus;ap;art vul;0;6;6;NA;5;NA;8;-1.395;0.44;-0.925;0.398;0.466666667;186.5;240.1478322;9226;43.32;Hemicryptophyte;0.74;34913.40741;s (by seed/by spore);cr
Chenopodium album;ap;ste med;0;NA;NA;NA;4;NA;7;-0.054;0.898;0.018;0.9;0.483333333;164.3333333;148.5492584;2390;22.21413226;Therophyte;0.647;105090.0909;s (by seed/by spore);cr
Chenopodium bonus-henricus;arch;art vul;0;8;NA;2;5;NA;9;-0.466;0.572;-0.466;0.578;0.36875;183.23;184.1966667;5275;28.03;Therophyte;1.8182;4588.466667;s (by seed/by spore);cr
Chenopodium polyspermum;ap;ste med;0;6;6;4;6;NA;8;-0.013;0.898;0.095;0.902;0.6875;167.535;36.84;1211.0675;35.23745185;Therophyte;0.265;55284.13334;s (by seed/by spore);cr
Cichorium intybus;arch;art vul;0;9;6;5;4;8;5;-0.169;0.599;-0.169;0.613;0.625;136;556.1217391;17537;26.42990447;Hemicryptophyte;1.778173333;13148.15625;s (by seed/by spore);c
Circaea lutetiana;sp;que fag;1;4;5;3;6;7;7;-1.908;0.276;-0.686;0.129;0.308333333;193.5;69.4483;2643;36.7;Geophyte;1.79549;202;sv (by seed and vegetatively);cs
Cirsium arvense;ap;art vul;0;8;5;NA;NA;NA;7;-0.298;0.712;-0.217;0.723;0.8625;141.6566667;190.5354895;3857.5;15.71243967;Geophyte;1.245544444;13516.22222;sv (by seed and vegetatively);c
Convallaria majalis;sp;0;1;5;NA;3;4;NA;4;-1.964;0.24;-0.73;0.067;0.15;221.5;225.5838192;6124.5;28.96700855;Geophyte;133.758175;300.465;sv (by seed and vegetatively);cs
Convolvulus arvensis;arch;art vul;0;7;6;NA;4;7;NA;-0.156;0.748;-0.14;0.758;0.2626;172.5;40.72906275;1124.75;28.30315442;Liana;12.4924;936.2333333;vvs (mostly vegetatively, rarely by seed);cr
Conyza canadensis;kn;ste med;0;8;6;NA;4;NA;5;-0.154;0.794;-0.109;0.8;0.525;176;24.73945915;660;22.40542762;Therophyte;0.045625;174774.9545;s (by seed/by spore);cr
Cornus sanguinea;sp;rha pru;0;7;5;4;5;7;NA;-1.862;0.245;-0.874;0.102;2.375;255;NA;1009.233333;17.37792023;Phanerophyte;79.5914;970.3333333;sv (by seed and vegetatively);c
Corydalis solida;sp;que fag;1;3;6;5;5;7;7;-1.973;0.241;-0.718;0.063;0.1125;148.19;42.46;1864.259;43.65;Geophyte;1.74251;38.77666667;sv (by seed and vegetatively);csr
Corylus avellana;ap;que fag;0;6;5;3;NA;NA;5;-1.93;0.229;-0.819;0.064;2.833333333;283.75;NA;3249.14;20.53669262;Phanerophyte;805.65;1250;ssv (mostly by seed, rarely vegetatively);c
Cotoneaster lucidus;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Phanerophyte;NA;NA;sv (by seed and vegetatively);c
Crataegus laevigata;sp;rha pru;0;6;6;4;5;7;5;-1.893;0.245;-0.88;0.09;6;349.89;37.4375;730;19.62;Phanerophyte;275.9989;64;s (by seed/by spore);c
Crataegus monogyna;ap;rha pru;0;7;5;3;4;8;4;-1.787;0.238;-0.959;0.114;4.885;336.1428571;NA;491.14;11.25396694;Phanerophyte;167.573325;1.5;s (by seed/by spore);c
Crataegus rhipidophyla;sp;rha pru;0;NA;NA;NA;NA;NA;NA;-1.787;0.238;-0.959;0.114;10;NA;NA;NA;NA;Phanerophyte;372.75;NA;s (by seed/by spore);c
Cruciata glabra;sp;fes bro;0;7;6;4;5;7;5;NA;NA;NA;NA;0.2;NA;NA;NA;NA;Hemicryptophyte;1.43;243185.3333;sv (by seed and vegetatively);csr
Cystopteris fragilis;ap;aspl;0;5;NA;3;7;8;4;-1.753;0.166;-1.168;0.105;0.3;248;91.9;1970;21.4;Hemicryptophyte;NA;NA;s (by seed/by spore);cs
Dactylis glomerata;ap;mol arr;0;7;NA;3;5;NA;6;-0.931;0.389;-0.384;0.396;0.454;262.5;49.90229255;1449;24.52594632;Hemicryptophyte;0.9114225;69458.7;ssv (mostly by seed, rarely vegetatively);c
Dactylis glomerata ssp. aschersoniana;sp;que fag;1;5;6;4;5;6;5;-1.929;0.258;-0.761;0.097;NA;NA;NA;NA;NA;Hemicryptophyte;NA;NA;s (by seed/by spore);cs
Danthonia decumbens;sp;cal uli;0;8;NA;2;NA;3;2;-1.045;0.243;-0.462;0.264;0.1;338.635;14.61016854;378;17.0125;Hemicryptophyte;1.4583;3175.2;sv (by seed and vegetatively);cs
Daucus carota;ap;art vul;0;8;6;5;4;NA;4;-0.149;0.57;-0.118;0.588;0.393;232.045;12.84;NA;19.56374252;Hemicryptophyte;1.162881452;32745.22222;s (by seed/by spore);cr
Deschampsia cespitosa;ap;mol arr;0;6;NA;NA;7;NA;3;-1.296;0.285;-0.506;0.274;0.4325;337.294;32.4951702;342.3339583;14.84337456;Hemicryptophyte;0.211112281;25240.64333;s (by seed/by spore);c
Deschampsia flexuosa;sp;vac pic;0;6;NA;2;NA;2;3;-1.782;0.276;-0.83;0.182;0.075;329.55;2.9155;40.575;17.61581818;Hemicryptophyte;0.311700901;2484.791429;sv (by seed and vegetatively);cs
Dianthus deltoides;ap;koe cor;0;8;5;4;3;3;2;-0.248;0.296;-0.248;0.332;0.22;262;1.496052632;24;16.05;Hemicryptophyte;0.202672727;32219.14761;s (by seed/by spore);csr
Dicranella heteromalla;sp;que rob-pet;0;5;4;5;4;2;NA;NA;NA;NA;NA;0.03;NA;NA;NA;NA;moss;NA;NA;NA;NA
Dicranum polysetum;sp;vac pic;0;6;3;6;4;5;NA;NA;NA;NA;NA;0.13;NA;NA;NA;NA;moss;NA;NA;NA;NA
Dicranum scoparium;sp;cal uli;0;5;NA;5;4;4;NA;NA;NA;NA;NA;0.09;NA;NA;NA;NA;moss;NA;NA;NA;NA
