Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Syringa vulgaris;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;327.285;275.31;2339.166667;13.361;Phanerophyte;5.384545455;82.36363636;sv (by seed and vegetatively);c
Tanacetum vulgare;ap;art vul;0;8;6;4;5;8;5;-0.371;0.583;-0.3;0.595;0.825;221;427.9908174;8376;20.60767032;Hemicryptophyte;0.293024;64490.5;ssv (mostly by seed, rarely vegetatively);c
Taraxacum officinale;ap;mol arr;0;7;NA;NA;5;NA;8;-0.753;0.585;-0.346;0.593;NA;NA;NA;NA;29.07;Hemicryptophyte;0.5316;NA;s (by seed/by spore);cr
Taxus baccata;ef;0;0;4;5;2;5;7;NA;-1.924;0.256;-0.791;0.095;17.5;267.1666667;NA;51.85;7.872013901;Phanerophyte;45.3264;1;s (by seed/by spore);c
Thalictrum minus;sp;fes bro;0;6;NA;7;3;8;3;-1.117;0.211;-0.595;0.217;0.475;288.486;891.22125;11934.4175;17.01666667;Hemicryptophyte;1.4936;1432.294118;sv (by seed and vegetatively);cs
Tilia cordata;ap;que fag;0;5;5;4;5;NA;5;-1.976;0.222;-0.734;0.042;21.66666667;NA;NA;0;27.17215231;Phanerophyte;50.55;3;ssv (mostly by seed, rarely vegetatively);c
Tilia platyphyllos;kn;que fag;0;4;6;2;6;NA;7;-1.974;0.227;-0.727;0.047;30;206.195;160.91;6034.25;26.75;Phanerophyte;146.54;NA;s (by seed/by spore);c
Torilis japonica;ap;art vul;0;6;6;3;5;8;8;-1.473;0.414;-0.755;0.364;0.441666667;280.6666667;138.9568619;3936.666667;28.06666667;Hemicryptophyte;1.778166667;3209.833333;s (by seed/by spore);c
Tragopogon dubius;ap;art vul;0;8;7;4;4;8;4;-0.208;0.467;-0.208;0.494;0.425;198.33;12;321.5;25.3;Hemicryptophyte;8.244;NA;s (by seed/by spore);csr
Trifolium dubium;ap;mol arr;0;6;6;3;4;6;4;-0.029;0.373;-0.027;0.401;0.225;199.5;4.165833614;135.5;26.61078793;Therophyte;0.467240217;7554.607143;s (by seed/by spore);r
Trifolium montanum;sp;fes bro;0;8;NA;4;3;8;2;-0.734;0.233;-0.166;0.26;0.275;260.045;96.57;1607.5;20.03;Hemicryptophyte;0.990214286;27.40909091;s (by seed/by spore);csr
Trifolium pratense;ap;mol arr;0;7;NA;3;5;NA;NA;-0.108;0.437;-0.107;0.463;0.283333333;223.3975;32.58394007;715.5;23.57674004;Hemicryptophyte;1.580555556;208.9583333;s (by seed/by spore);c
Trifolium repens;ap;mol arr;0;8;NA;NA;5;6;6;-0.113;0.548;-0.067;0.569;0.35;185.6875;11.75808095;682;31.33518379;Hemicryptophyte;0.590026667;16628.17143;sv (by seed and vegetatively);csr
Ulmus glabra;ap;que fag;0;4;5;3;6;7;7;-1.967;0.234;-0.746;0.057;33.33333333;254.07;114.6725;3395.233333;21.82925325;Phanerophyte;11.48855;1;s (by seed/by spore);c
Ulmus minor;ap;que fag;0;5;7;5;NA;8;NA;-1.88;0.255;-0.861;0.107;30.25;246.405;64.7225;1734.255;20.31;Phanerophyte;9;NA;ssv (mostly by seed, rarely vegetatively);c
Urtica dioica;ap;art vul;0;NA;NA;NA;6;7;9;-1.428;0.418;-0.665;0.383;0.875;212.5;101.2212909;3841.5;28.27833333;Hemicryptophyte;0.179769231;9003.975;sv (by seed and vegetatively);c
Vaccinium myrtillus;sp;vac pic;1;5;NA;5;NA;2;3;-1.837;0.256;-1.018;0.154;0.3135;331.8333333;4.044545455;72.30275862;20.81390009;Chamaephyte;40.80735556;1951.059722;vvs (mostly vegetatively, rarely by seed);cs
Vaccinium vitis-idaea;sp;vac pic;1;5;NA;5;4;2;1;-1.832;0.207;-1.247;0.13;0.134285714;333.7666667;6.934117647;59.63606061;7.691278142;Chamaephyte;23.11978333;675.2066667;vvs (mostly vegetatively, rarely by seed);cs
Verbascum thapsus;ap;art vul;0;8;NA;3;4;7;7;-0.828;0.55;-0.395;0.558;0.783333333;213.6666667;1595.280151;21628.33333;16.91821751;Hemicryptophyte;0.103033333;587457.2666;s (by seed/by spore);c
Veronica chamaedrys;ap;mol arr;0;6;NA;NA;5;NA;NA;-1.35;0.319;-0.428;0.299;0.25;270.46;15.80847992;355.5;31.55816667;Chamaephyte;0.206428571;12629.675;sv (by seed and vegetatively);csr
Veronica hederifolia;ap;ste med;0;6;6;3;5;7;7;-0.944;0.836;-0.449;0.822;0.19;91.8875;10.29783229;261.75;28.816;Therophyte;4.1612;68461.90835;s (by seed/by spore);r
Veronica officinalis;sp;cal uli;0;6;NA;3;4;3;4;-1.75;0.292;-0.593;0.202;0.12575;280;10.47519084;54;27.6626;Chamaephyte;0.122816667;12890.20313;sv (by seed and vegetatively);c
Veronica spicata;ap;fes bro;0;7;7;6;3;7;2;-0.798;0.205;-0.282;0.235;0.21;341;68.3;505;10.125;Hemicryptophyte;0.12015;127910.3334;vvs (mostly vegetatively, rarely by seed);csr
Viburnum opulus;sp;que fag;0;6;5;3;NA;7;6;-1.915;0.24;-0.843;0.072;2.916666667;250.5;NA;2086.066667;17.90877193;Phanerophyte;145.1769429;748.5;s (by seed/by spore);c
Vicia cracca;ap;mol arr;0;7;5;NA;6;NA;NA;-0.377;0.391;-0.246;0.415;0.883333333;223.055;29.26000096;971.5;25.57613995;Liana;16.08323636;1693.683333;ssv (mostly by seed, rarely vegetatively);c
Vicia sativa ssp. nigra;arch;ste med;0;5;6;3;NA;NA;NA;0.101;0.891;0.215;0.896;NA;NA;NA;NA;NA;Therophyte;NA;NA;s (by seed/by spore);cr
Vicia tetrasperma;arch;ste med;0;6;6;5;5;5;5;-0.536;0.773;0.047;0.78;0.375;281;1.8;36;31.89649669;Liana;3.197666667;3365.788889;s (by seed/by spore);r
Viola arvensis;arch;ste med;0;6;5;NA;NA;NA;NA;-0.112;0.901;0;0.904;0.191666667;167.5;23.09604869;546.5;24.32;Therophyte;0.468;13153.41111;s (by seed/by spore);r
Viola canina;sp;cal uli;0;7;NA;3;4;3;2;-0.701;0.27;-0.452;0.3;0.1;245;12.71737374;238;24.36501502;Hemicryptophyte;1.08548;10508.01667;ssv (mostly by seed, rarely vegetatively);csr
Viola hirta;sp;fes bro;0;6;5;5;3;8;3;-1.368;0.237;-0.589;0.216;0.075;236.5;169.8245458;3436;18.23333333;Hemicryptophyte;3.09404;NA;sv (by seed and vegetatively);csr
Viola odorata;ap;art vul;0;5;6;3;5;NA;8;-1.602;0.354;-0.889;0.282;0.2375;220;86.57567665;1975.5;29.35;Hemicryptophyte;2.256533333;NA;sv (by seed and vegetatively);csr
Viola reichenbachiana;sp;que fag;1;4;NA;4;5;7;6;-1.964;0.248;-0.708;0.075;0.12;225.695;17.52;488;29.785;Hemicryptophyte;2.0248;3108.3;sv (by seed and vegetatively);csr
Viola riviniana;sp;que fag;1;5;NA;3;4;4;NA;-1.907;0.27;-0.732;0.119;0.135;296;28.96341463;532;24.76666667;Hemicryptophyte;1.200266667;69.21176471;sv (by seed and vegetatively);csr
