ASW;Forests;Industrial;Water;Urban.dense;Urban.sparse;OLDFR;AFIS;Dryomas;Festgiga;Ficavern;Poanemo;Scronodo
20.11957217;3.742252834;0.565378075;0;16.47221965;0;noforest;4;1;0;0;1;0
26.62185398;3.362673916;1.649923223;0;43.16302433;4.154465979;noforest;2;0;0;0;0;1
64.33648533;3.222197773;1.982638609;0;18.6710389;0;noforest;1;0;0;0;0;0
3.267812807;2.975291273;0.007174793;82.86995091;3.885445147;4.813949833;noforest;0;0;0;0;0;0
50.08882362;2.128634573;15.47434448;0.069640396;23.80228579;0;noforest;6;0;1;0;0;1
9.344454894;1.9512768;39.97637644;0;15.89491316;0.938760773;noforest;4;0;1;1;0;0
19.8253033;1.753682934;13.4741076;0;51.36697518;0.156236521;noforest;0;0;0;0;0;0
56.73891255;1.706395623;2.517957847;20.2671375;8.748940124;5.579537419;noforest;11;0;1;0;0;1
42.48922237;1.550106247;22.86629959;4.146490897;3.027174262;0;noforest;10;1;0;0;1;1
79.47445643;1.515610746;11.07229966;1.033966863;3.574462144;0;noforest;1;0;0;0;0;0
0.012234634;1.254127945;47.81386332;0;23.98893467;5.348821244;noforest;2;0;0;0;1;0
54.43681686;1.007122886;3.652191229;0;0;0;noforest;8;0;0;1;1;0
2.856339953;0.506181549;41.32310117;0;33.57200942;1.645030549;noforest;5;0;0;0;1;0
0;0.436563263;7.071023453;0;26.04796738;0;noforest;3;0;0;0;0;0
33.90755398;0.243733246;10.76028348;23.67510017;15.2195385;4.399533136;noforest;2;0;0;0;0;0
0;0.175010581;22.70880533;0;55.38204556;1.412716011;noforest;9;0;1;1;1;0
0.226224061;0.154376701;25.41777405;0;34.21042588;2.109403665;noforest;0;0;0;0;0;0
35.10200943;0.006537432;5.433422348;6.880380288;20.3395076;12.74739398;noforest;0;0;0;0;0;0
97.77085468;0;0;0;0;0;noforest;2;0;0;0;0;0
4.262334193;0;14.86899514;0;46.46636952;4.977388152;noforest;1;1;0;0;0;0
9.45028511;0;0;0;42.84892603;17.19841164;noforest;2;0;0;0;0;0
0;0;19.67481653;0;43.33306933;27.31931029;noforest;1;0;0;0;0;0
6.997761497;0;38.95567144;0;38.18914706;3.655431454;noforest;2;0;0;0;1;1
0;0;16.05327759;0;49.93632355;0;noforest;4;0;0;0;1;0
12.04225249;0;63.45937056;0;4.49639965;1.546830047;noforest;6;0;0;1;1;0
2.226095949;0;51.22004317;0;4.256130097;1.098228289;noforest;0;0;0;0;0;0
0;0;21.34676225;0;38.53765205;0.670140846;noforest;1;0;0;0;0;0
0;0;13.52209472;0;40.98287047;9.994757972;noforest;3;0;0;0;0;0
6.299606756;0;4.577086207;0;54.12293597;0;noforest;1;0;0;0;0;0
1.811561157;0;9.309841387;0;49.05908938;1.049592303;noforest;0;0;0;0;0;0
0;0;14.52669001;0;22.9151569;3.00477389;noforest;2;0;0;0;0;0
0;0;27.58573511;0;44.93476638;0;noforest;4;0;0;0;1;0
0;0;20.63592944;0;47.3224573;0;noforest;1;0;0;0;0;0
0;0;21.64464647;0;14.09526939;0;noforest;0;0;0;0;0;0
18.57436954;0;0.50072022;0;2.207724384;0;noforest;1;0;0;0;0;0
11.77658226;0;0;0;4.113627151;0;noforest;0;0;0;0;0;0
14.48860133;0;17.47062591;0;15.99174969;0.975334642;noforest;4;0;0;0;1;0
0;0;21.29153879;2.893189349;31.03379975;13.75286411;noforest;1;0;0;0;0;0
0;0;7.456406695;0;49.70014466;2.139229752;noforest;0;0;0;0;0;0
0;0;13.41703068;0;34.78034447;6.44377106;noforest;0;0;0;0;0;0
22.74597927;0;16.78536336;0;28.94172758;6.170235316;noforest;1;0;0;0;0;0
3.064035641;0;70.25868229;10.49444668;0;0;noforest;0;0;0;0;0;0
13.12095384;0;9.325867361;5.777249394;28.31128652;3.528781594;noforest;7;0;1;0;0;1
0;0;0.136487081;0;24.38183529;0;noforest;0;0;0;0;0;0
22.08785785;0;12.25652546;0;6.143210709;0;noforest;0;0;0;0;0;0
22.93569057;0;8.62944036;0;8.243698465;0;noforest;1;0;0;0;0;0
8.721424284;0;21.06458115;0;47.39467201;0;noforest;14;1;1;1;1;0
0;0;28.13784329;0;47.26924387;2.024276819;noforest;7;0;1;0;1;1
0;0;36.2322587;0;40.68472855;4.490726471;noforest;2;0;0;0;0;0
0;0;20.96679619;0;25.30322573;6.004737733;noforest;8;0;1;1;1;0
0;0;36.09283772;2.192298036;2.349182638;3.042593392;noforest;10;0;1;1;0;0
0;0;15.98026221;0;70.48138133;2.845297634;noforest;2;0;1;0;0;0
0;0;23.86743553;0;55.01121361;4.274399957;noforest;3;0;0;0;0;0
0;0;30.52758171;0;52.48172504;0;noforest;3;0;0;0;0;0
0;0;28.42326254;0;36.75053531;0;noforest;6;0;1;1;1;0
0;0;41.55233267;0.296856523;40.86468812;0;noforest;0;0;0;0;0;0
0;0;4.597209151;0;66.68453825;1.489742361;noforest;1;0;0;0;0;0
0;0;11.2186391;0;39.75142506;2.22421824;noforest;1;0;0;0;0;0
0;0;28.72482507;0;35.85072909;0;noforest;5;0;0;1;0;0
0;0;29.09862603;0;29.92234297;0;noforest;1;0;0;1;0;0
0;0;24.61263363;3.407628278;19.75385035;0;noforest;2;0;0;0;0;0
1.959232656;0;22.24984563;0;52.02714174;0.068350949;noforest;2;0;0;0;0;0
0;0;32.22042604;0;41.3668393;0;noforest;0;0;0;0;0;0
0;0;7.228068445;0;54.68411378;0.509138922;noforest;5;0;0;1;1;0
0;0;17.30038889;0;60.98194964;0.783348511;noforest;2;0;0;0;0;0
0;0;28.02347889;0;22.93944626;1.48499041;noforest;1;0;0;0;0;0
0;0;19.89590556;0;42.24788593;0.530120293;noforest;1;0;0;0;1;0
0;0;8.766984053;5.161037232;3.168670733;1.827126691;noforest;0;0;0;0;0;0
33.30013108;0;6.85856807;0;49.22312676;0.421420054;noforest;2;0;0;0;0;0
8.794760916;0;40.46032459;0;40.04921658;0.095709239;noforest;1;0;0;0;0;0
17.54599027;0;24.70376806;7.117390428;23.93090804;8.660980491;noforest;1;0;0;0;0;0
13.51512875;0;43.44951749;6.289346957;22.03965734;0.86001588;noforest;0;0;0;0;0;0
0;0;30.80944117;0;43.42177675;0.099770094;noforest;2;0;0;0;1;0
0;0;34.57602922;0;30.83367669;1.285163241;noforest;2;0;0;0;0;0
0;0;55.82949748;0;12.4012293;1.659421462;noforest;1;0;0;0;0;0
43.09801012;0;31.31978445;0;19.18759822;1.1937998;noforest;0;0;0;0;0;0
5.792557184;0;2.221806098;2.127499041;59.61853178;0.199590067;noforest;1;0;0;0;0;0
0;0;12.86639798;0;64.63701604;0;noforest;1;0;0;0;1;0
89.49811506;0;6.22196179;0;2.58273218;0;noforest;0;0;0;0;0;0
61.34276496;0;14.22870274;0;11.33788906;0;noforest;3;0;0;0;0;0
18.38847539;0;1.60877958;17.12410854;36.14503274;0.201326076;noforest;1;0;0;0;0;0
12.09730182;0;7.868805825;0;42.82194182;2.760015589;noforest;7;1;0;0;0;1
28.32909187;0;24.22453077;0;22.89494401;6.847187997;noforest;3;0;0;0;0;0
49.3466352;0;27.02023623;0;0;0;noforest;0;0;0;0;0;0
51.31768344;0;20.19759708;0;12.14074792;0;noforest;0;0;0;0;0;0
19.51855856;0;4.371078157;0;62.32515123;0;noforest;0;0;0;0;0;0
14.0451372;0;15.31041342;0;23.98673548;0.109716465;noforest;1;0;0;0;0;0
9.620385694;0;12.88333739;0;39.15560657;0;noforest;6;0;0;1;1;0
64.43406548;0;21.46497041;0;10.74974952;0;noforest;0;0;0;0;0;0
35.25855959;0;2.191765031;1.780644592;49.31737466;1.417496496;noforest;1;0;0;0;0;0
20.5892055;0;33.83598249;10.2885093;3.83823895;1.231176664;noforest;5;0;1;0;1;0
18.48561933;0;43.75767552;0;16.17457271;0.852996532;noforest;2;0;0;0;0;1
0;0;63.91348333;1.258256802;6.514524602;0;noforest;1;0;0;0;0;0
0;0;20.9685161;11.12496336;17.57946371;1.023764663;noforest;0;0;0;0;0;0
0;0;21.78556315;17.91254321;18.34458921;0;noforest;2;0;0;0;0;0
0;0;28.06970783;2.387117382;22.47720427;1.282066915;noforest;3;0;0;0;0;0
0;0;29.34546369;16.44961285;19.49804544;0;noforest;3;0;0;0;0;0
0;0;16.23643533;0;55.4279029;0;noforest;0;0;0;0;0;0
0;0;15.68902004;1.386430515;30.73242656;0;noforest;1;0;0;0;0;0
0;0;20.09554834;0;42.12842169;0.659670264;noforest;6;0;0;1;0;0
0;0;21.65650806;0;33.00706263;0.000124256;noforest;0;0;0;0;0;0
0;0;7.752727474;0;53.13014615;0.491298794;noforest;1;0;0;0;0;0
11.73129682;0;31.01880369;0;19.35380038;0;noforest;4;0;0;1;0;0
33.6516135;0;40.46465401;0;8.138762426;0;noforest;0;0;0;0;0;0
6.693779912;0;41.78728807;0;9.11835461;2.342633352;noforest;0;0;0;0;0;0
33.61716683;0;31.31674314;0;7.504330828;0.02651418;noforest;0;0;0;0;0;0
41.12689332;0;31.07807935;0;0.102458337;0;noforest;0;0;0;0;0;0
22.31198538;0;6.114914494;0;36.0702291;2.081866444;noforest;1;0;0;0;0;0
81.60071622;0;5.27E-05;0;13.92244599;0;noforest;0;0;0;0;0;0
93.82137794;0;0;0;4.618846751;0.074754067;noforest;2;0;0;0;0;0
54.70872557;0;16.86856529;0;10.54607752;1.856296661;noforest;1;0;0;0;0;0
82.69057009;0;0;0;0;0;noforest;0;0;0;0;0;0
55.25552683;0;14.75576864;0;14.93042685;4.175293671;noforest;3;0;0;1;0;1
26.67923854;0;19.96716409;0;42.79507087;0.505755546;noforest;0;0;0;0;0;0
19.79886572;0;6.706628387;0;43.04719832;25.89108795;noforest;0;0;0;0;0;0
41.30630611;0;5.594957965;0;36.74404163;11.28607007;noforest;0;0;0;0;0;0
52.17353561;0;0.660271967;0;17.60960495;0;noforest;1;0;0;0;0;0
86.98233446;0;1.062970515;0;8.603983567;0;noforest;0;0;0;0;0;0
71.25341396;0;2.221024509;0;24.01862837;0;noforest;2;0;0;0;1;0
72.98548678;0;11.35506772;0;6.306610128;3.507969335;noforest;2;0;0;0;1;0
55.73774133;0;6.198443807;0;33.05819441;2.785161702;noforest;6;0;0;0;1;0
40.00889952;0;14.98145523;0.553858592;36.51498805;2.363810194;noforest;1;0;0;0;0;0
61.31980662;0;3.95940361;0;21.66532993;0.418019626;noforest;0;0;0;0;0;0
65.68416483;0;1.587131193;0;2.077407928;4.432232327;noforest;1;0;0;0;0;0
73.42010143;0;12.55634235;0;3.700048926;0;noforest;2;0;0;0;0;0
71.49695028;0;8.970658747;0.530411035;6.849011799;1.803768367;noforest;1;0;0;0;0;0
82.07980228;0;0;0.195953688;11.08655734;1.917080789;noforest;28;0;1;1;0;1
39.41949733;0;3.297254459;0;4.940908608;0;noforest;0;0;0;0;0;0
63.80587855;0;5.117381435;0;19.42345733;0;noforest;1;0;0;0;0;0
92.71655239;0;0.3741988;0;0;0;noforest;8;0;0;1;0;1
