area;continent;country;plants;ants;amphibians;reptiles;fish;birds;mammals;spider;area;mainl;popdens;GDP;MAT;MAP;N;E
Bolivia;America_S;Bolivia;198;5;0;1;10;2;8;NA;1086.530726;MAINL;7.62553214;1934.7;204.2344051;1149.482314;-16.71511345;-64.67053986
Henan;Asia_Temp;China;171;4;NA;NA;NA;2;5;NA;166.0300341;MAINL;553.0589277;5805;141.7225558;750.0872946;33.87827834;113.6069562
Assam;Asia_Trop;India;297;4;NA;NA;NA;1;2;NA;79.09062639;MAINL;332.7303922;2080.76;237.8481453;2407.934783;26.3430472;92.8312049
Gujarat;Asia_Trop;India;292;4;NA;NA;NA;1;2;NA;185.0416106;MAINL;262.2983975;5185;267.5102965;683.3251254;22.70479161;71.55597905
Arunachal_Pradesh;Asia_Trop;India;282;4;NA;NA;NA;1;2;NA;82.03038929;MAINL;14.84962594;3650;144.8970352;1857.529565;28.03303338;94.66391147
Manipur;Asia_Trop;India;259;4;NA;NA;NA;1;2;NA;21.74258218;MAINL;107.4419651;2061;200.7103172;1899.056204;24.72499615;93.88349026
Johnston_I.;Pacific;US_Pacific;24;4;NA;NA;NA;0;2;NA;0.001200417;ISL;0;NA;262;635;16.72861477;-169.5338036
Libya;Africa;Libya;147;4;0;2;NA;0;3;NA;1617.575828;MAINL;3.245395631;12378.5;216.7169977;31.05514982;27.04405009;18.02318175
Michoacan;America_N;Mexico;92;4;0;1;14;3;6;NA;59.40522433;MAINL;70.31833823;7416;212.5935578;994.9836155;19.21129264;-101.8797259
Macau;Asia_Temp;China;83;4;0;0;NA;1;5;NA;0.006806896;MAINL;35021.46392;53046;227.6;1815.1;22.1995404;113.5449681
Guanajuato;America_N;Mexico;57;4;0;0;8;3;6;NA;30.38918443;MAINL;154.4325655;9607;179.9183759;648.0659575;20.89378567;-101.0210804
Mexico_Distrito_Federal;America_N;Mexico;76;4;0;0;3;10;6;NA;1.340683588;MAINL;6141.507871;8286.94;138.7204819;926.7277108;19.27289093;-99.1287943
Jiangsu;Asia_Temp;China;234;3;NA;NA;NA;2;5;NA;99.52762073;MAINL;702.2621835;12446;148.5225284;929.1092862;32.97741605;119.4393083
Uttar_Pradesh;Asia_Trop;India;316;3;NA;NA;NA;0;2;NA;244.2105169;MAINL;692.9110656;2051;253.4127589;1012.988686;26.94462298;80.54340217
Orissa;Asia_Trop;India;283;3;NA;NA;NA;0;2;NA;148.9534152;MAINL;241.0645119;2826;259.6601163;1401.617295;20.56641205;84.50456397
Sergipe;America_S;Brazil;46;3;NA;NA;3;2;8;NA;21.47686283;MAINL;78.59490519;4863;244.4659749;983.5113156;-10.58053533;-37.44585369
Roraima;America_S;Brazil;42;3;NA;NA;1;2;7;NA;224.9210736;MAINL;1.473617863;7693.31;262.0107526;1872.122326;2.069108653;-61.40128747
Queretaro;America_N;Mexico;58;3;0;2;5;4;6;NA;12.06703606;MAINL;114.9967484;13624.14;181.748873;733.075842;20.84527276;-99.84580705
Liberia;Africa;Liberia;141;2;NA;NA;NA;2;6;NA;96.02580743;MAINL;31.82445837;326.6;255.9805377;2690.574377;6.448116623;-9.307850737
Tripura;Asia_Trop;India;256;2;NA;NA;NA;1;2;NA;10.44806016;MAINL;315.7434249;2880;249.4714543;2291.742338;23.7399447;91.73472672
Bihar;Asia_Trop;India;288;2;NA;NA;NA;0;2;NA;94.02323657;MAINL;858.391943;1453;255.3604692;1135.714901;25.67250309;85.60035916
Haryana;Asia_Trop;India;283;2;NA;NA;NA;0;2;NA;44.09318986;MAINL;470.2204655;6317;249.0117983;561.9661161;29.19180804;76.32365516
Congo;Africa;Congo;56;2;NA;NA;9;0;7;NA;344.0436052;MAINL;10.00509226;2183.4;245.0303472;1654.783407;-0.840074754;15.22427245
Rondonia;America_S;Brazil;32;2;NA;NA;2;2;7;NA;238.4472344;MAINL;6.004791058;7693.31;248.2882315;1885.823955;-10.92011687;-62.84391904
Alagoas;America_S;Brazil;72;2;NA;NA;1;2;7;NA;28.01448713;MAINL;101.0849367;3309;241.8722117;1068.870466;-9.512672396;-36.62650544
Clipperton_I.;America_S;France;8;2;0;1;NA;0;1;NA;0.007363246;ISL;0;NA;268.875;193.875;10.29770781;-109.2192906
Tlaxcala;America_N;Mexico;39;2;0;0;2;4;6;NA;4.091477953;MAINL;338.3302056;6221;137.8348787;753.5176563;19.41546267;-98.13974237
Netherlands_Leeward_Is.;America_S;Sint_Maarten;35;1;NA;NA;NA;5;13;NA;0.08286499;ISL;367.1594593;NA;267.15;1072.02;17.85982296;-63.03120108
Heilongjiang;Asia_Temp;China;151;1;NA;NA;NA;1;5;NA;451.48888;MAINL;80.23840468;6395;8.454532438;553.5969856;47.86654263;127.7523268
Qinghai;Asia_Temp;China;118;1;NA;NA;NA;1;5;NA;734.1538179;MAINL;7.021445223;5671;-21.00357305;294.7405979;35.77342914;96.04684807
Gansu;Asia_Temp;China;148;1;NA;NA;NA;1;4;NA;380.4545264;MAINL;65.49789271;7295.74;58.66668748;306.8589996;37.73762835;101.2225229
Ningxia;Asia_Temp;China;109;1;NA;NA;NA;1;4;NA;51.93857218;MAINL;106.3998646;7295.74;77.09801806;307.7158424;37.27292648;106.1541306
Uttaranchal;Asia_Trop;India;337;1;NA;NA;NA;1;2;NA;50.88388154;MAINL;138.1591189;2051.13;122.8198694;1427.695416;30.17093669;79.26128662
Mizoram;Asia_Trop;India;251;1;NA;NA;NA;1;2;NA;20.85110398;MAINL;42.35676402;2080.76;226.0175783;2481.039268;23.29777463;92.83116618
Laccadive_Is.;Asia_Trop;India;28;1;NA;NA;NA;1;0;NA;0.060507634;ISL;497.4902336;3477;276.44;1755.84;9.907591042;72.88334886
Niger;Africa;Niger;37;1;NA;NA;NA;0;6;NA;1182.025788;MAINL;9.945330854;502.51;271.0273871;133.8480471;17.42632346;9.397650573
Lesotho;Africa;Lesotho;206;1;NA;NA;4;4;6;NA;30.53912744;MAINL;58.32062067;1078.83;115.2778592;753.1686697;-29.58100531;28.24284307
La_Araucania;America_S;Chile;301;1;NA;NA;4;3;11;NA;32.6512719;MAINL;25.95160073;NA;101.4119123;1555.618043;-38.62280503;-72.24781466
Northern_Cape_Province;Africa;South_Africa;389;1;NA;NA;2;5;10;NA;362.3512324;MAINL;2.383913249;6975.41;175.4510768;236.2220767;-29.52566363;21.34693074
North_Korea;Asia_Temp;Korea._Democratic_People's_Republic_of;71;1;NA;NA;1;2;5;NA;122.2921626;MAINL;173.8535684;1800;57.84565258;1005.233506;40.1428471;127.1805274
Namibia;Africa;Namibia;275;1;0;2;9;3;20;NA;804.6509794;MAINL;NA;4244.89;198.0679278;275.1285022;-22.23553957;17.07189693
Puebla;America_N;Mexico;93;1;0;1;7;4;6;NA;34.22946785;MAINL;143.1588751;7866;183.9915136;1022.851949;19.00092067;-97.88545764
Central_African_Republic;Africa;Central_African_Republic;57;1;0;1;5;0;6;NA;618.5751323;MAINL;5.953591829;456.6;248.9981141;1367.884122;6.571447681;20.48276784
Santa_Fe;America_S;Argentina;111;1;0;1;0;1;12;NA;133.7239573;MAINL;22.88824727;NA;189.2358474;970.4917975;-30.69496137;-60.94508102
Revillagigedo_Is.;America_N;Mexico;47;1;0;0;NA;1;7;NA;0.227527926;ISL;0;NA;237.2614841;291.3922261;18.77973887;-111.4100739
Aguascalientes;America_N;Mexico;28;1;0;0;5;2;6;NA;5.598890215;MAINL;169.5926364;12449;170.9472415;543.4631967;22.01122575;-102.3623764
Qatar;Asia_Temp;Qatar;127;1;0;0;1;5;7;NA;11.11010513;MAINL;48.16622387;71510.2;268.2768019;73.10581347;25.3158069;51.19120334
Entre_Rios;America_S;Argentina;199;1;0;0;1;1;10;NA;78.07166115;MAINL;15.23295894;6187;182.0840917;1059.31227;-32.04369456;-59.20346947
Catamarca;America_S;Argentina;83;1;0;0;0;2;9;NA;99.17477482;MAINL;3.323339345;14428;110.4231626;197.6597047;-27.28561;-66.99582679
Salta;America_S;Argentina;134;1;1;0;0;1;9;NA;155.9144162;MAINL;7.036293242;5072;165.2364836;513.5618678;-24.28970972;-64.82350508
Hawaiian_Is.;Pacific;US_Pacific;1428;62;7;25;51;91;16;48;16.85873204;ISL;67.75739458;43047;184.7580292;1707.970885;20.26898313;-156.3663379
California;America_N;USA;1753;25;9;16;29;35;23;39;407.7590096;MAINL;81.51516608;44046;136.3018011;543.3102782;37.23999046;-119.5874549
Florida;America_N;USA;1473;66;4;54;41;37;20;30;146.5850311;MAINL;104.7418147;39587;213.1279684;1348.328847;28.65142195;-82.48405094
Germany;Europe;Germany;451;1;2;2;22;10;18;27;357.5751669;MAINL;229.6564168;34230.11;83.8995088;729.1062032;51.11015178;10.39233019
Texas;America_N;USA;1025;35;0;10;20;10;23;24;684.9676109;MAINL;30.37696898;39107;181.1072969;693.4768881;31.49694154;-99.35743679
St._Helena;Africa;St_Helena;252;10;0;1;NA;12;6;24;0.133030751;ISL;30.22239697;34266.97;188.3043478;628.2484472;-15.96202459;-5.717275315
Seychelles;Africa;Seychelles;425;42;1;5;3;12;9;22;0.328505229;ISL;199.2894719;10805.1;258.7279793;2225.979275;-4.70189449;55.5220677
Quebec;America_N;Canada;862;4;0;1;3;7;15;22;1513.232578;MAINL;4.861969819;32322;-30.52977393;773.03591;53.38114914;-71.75499676
Massachusetts;America_N;USA;1496;5;1;2;6;7;10;21;21.0549405;MAINL;295.7174818;53152;84.46192909;1167.199559;42.25862899;-71.80907678
Great_Britain;Europe;United_Kingdom;1666;2;NA;NA;24;27;30;21;231.1395221;ISL;238.4236844;34266.97;84.24037762;976.6966175;54.1326318;-2.667712547
Louisiana;America_N;USA;927;35;3;3;7;7;7;19;119.1400896;MAINL;37.49380857;38373;189.1394661;1465.557815;31.07581713;-92.01956256
Belgium;Europe;Belgium;508;2;4;0;23;11;11;19;30.64069518;MAINL;336.5305715;35558.52;94.41168813;859.2642223;50.64294584;4.664357678
Alabama;America_N;USA;1124;27;1;5;7;9;9;18;134.4285044;MAINL;33.3821555;34711;169.6995874;1446.02262;32.79389912;-86.82906784
Italy;Europe;Italy;478;8;4;7;57;12;19;18;250.6981;MAINL;200.1141969;28381;115.329212;862.5195182;43.52546164;12.15502009
France;Europe;France;716;7;9;3;30;14;20;18;539.383641;MAINL;107.5028665;31299.3;104.5205467;817.0494708;46.63137208;2.451504245
New_York;America_N;USA;1598;6;0;3;10;11;8;18;137.0279773;MAINL;132.8922145;50347;71.33754792;1029.946285;42.99492034;-75.69458709
Spain;Europe;Spain;454;17;5;8;26;12;17;17;493.5032149;MAINL;75.8077209;27332.01;130.3762385;613.9512769;40.39193845;-3.557131176
