time;Rich;Shan
103;hist;31;3.3151426472505
104;new;51;3.83013885585715
105;hist;26;3.17751402053375
106;new;38;3.55404347223569
107;hist;27;3.19675967780318
108;new;46;3.73271645873914
109;hist;23;3.02885034805762
110;new;40;3.59234716770273
111;hist;23;3.03528594941437
112;new;39;3.56729012078368
113;hist;22;3.00630085929358
114;new;43;3.67687086951133
115;hist;14;2.52478144717382
116;new;20;2.90910904063365
117;hist;5;1.50478828368119
118;new;20;2.8845325937656
119;hist;11;2.29341258948536
120;new;22;2.96536315522221
121;hist;28;3.22879874640836
122;new;41;3.60807261349652
123;hist;31;3.33368584951907
124;new;37;3.48061465702592
125;hist;24;3.06895569169541
126;new;37;3.5091733819301
127;hist;20;2.88293742718052
128;new;45;3.67346392291583
129;hist;24;3.07031607677118
130;new;55;3.90411197727577
131;hist;30;3.3042106476945
132;new;46;3.75029030597314
133;hist;35;3.4587727210505
134;new;50;3.80735768439036
135;hist;26;3.17049266237807
136;new;42;3.66923184624931
137;hist;16;2.65353203091629
138;new;19;2.83189188930199
139;hist;10;2.21870193546738
140;new;21;2.98218822274804
141;hist;10;2.20082764903455
142;new;17;2.70144988957628
143;hist;9;2.06920246582036
144;new;18;2.7963458800425
145;hist;21;2.9487837204524
146;new;29;3.27708063278569
147;hist;20;2.89793259747347
148;new;43;3.65305645214993
149;hist;31;3.33782158628118
150;new;41;3.61926825066002
151;hist;24;3.08553706796396
152;new;47;3.76387973049383
153;hist;29;3.25757534443001
154;new;50;3.82185834847615
155;hist;27;3.18334305873229
156;new;55;3.90492230106269
157;hist;27;3.20100789041607
158;new;43;3.66086225975874
159;hist;15;2.58063837741792
160;new;34;3.45001299375644
161;hist;14;2.54562016108587
162;new;9;2.12862074618514
163;hist;19;2.84686376158253
164;new;17;2.72922881478449
165;hist;17;2.7214846262452
166;new;26;3.14258045364038
167;hist;12;2.37564654813425
168;new;24;3.09738129198421
169;hist;19;2.84430532669826
170;new;45;3.71669895605935
171;hist;32;3.36063222104853
172;new;47;3.7545143615561
173;hist;28;3.21792862773376
174;new;52;3.83291837278212
175;hist;27;3.19909017596763
176;new;50;3.81026556146865
177;hist;29;3.26875306615091
178;new;53;3.84849449950649
179;hist;29;3.27334277878723
180;new;43;3.6634071673989
181;hist;10;2.21870193546738
182;new;22;2.99219639336398
183;hist;17;2.74843487554925
184;new;19;2.85317721278896
185;hist;15;2.62587811858176
186;new;26;3.15534260348829
187;hist;26;3.14779704947281
188;new;15;2.58280823443909
189;hist;18;2.77116964108868
190;new;27;3.20136952330687
191;hist;29;3.27770027303634
192;new;47;3.76081855605928
193;hist;29;3.28780527700173
194;new;43;3.6708112252051
195;hist;35;3.45778224331034
196;new;44;3.68994428297919
197;hist;33;3.38576008389142
198;new;49;3.79963500089966
199;hist;28;3.21676625207447
200;new;57;3.93345989130002
201;hist;34;3.4445350617737
202;new;51;3.8176805667199
203;hist;10;2.20515510119946
204;new;12;2.44638227820629
205;hist;15;2.63250554139477
