kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Lactuca serriola;9;7;7;4;NA;4;0.675;191;397.1180185;5993;16.5857305;mixed;0.5437;182712.6667;cr (competitors/ruderals);selfing;Ste med;Asteraceae
wysoka;Lamiastrum galeobdolon;3;5;4;5;7;5;0.3875;270;68.18693031;1564;25.35;perennials;2.386657143;3156.357143;cs (competitors/stress-tolerators);selfing;Que-Fag;Lamiaceae
nie;Lamium album;7;NA;3;5;NA;9;0.316666667;170;42.65258479;1970.514;35.94;perennials;1.3449;2577.535714;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Lamiaceae
nie;Lamium amplexicaule;6;6;5;4;7;7;0.133333333;135;8.462668666;167;19.7;mixed;0.5788;11193.57143;r (ruderals);selfing;Ste med;Lamiaceae
wysoka;Lamium maculatum;5;NA;4;6;7;8;0.375;197;47.04573503;1371.44;31.62;perennials;1.608533333;33735.33333;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Lamiaceae
nie;Lamium purpureum;7;5;3;5;7;7;0.225;139.8;11.31880137;537.498;38.45;mixed;0.7016;3967.047619;r (ruderals);selfing;Art vul;Lamiaceae
niska;Lappula myosotis;8;6;6;3;7;6;0.3075;127.55;20.645;693;NA;NA;1.3;447.2727273;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Boraginaceae
nie;Lapsana communis;5;6;3;5;NA;7;0.5;127;98.97922854;4966;48.7325;mixed;1.0212;19552.47727;cr (competitors/ruderals);selfing;Art vul;Asteraceae
nie;Larix decidua;8;NA;6;4;NA;3;35;279.75;NA;20.125;10.19247985;NA;6.24;94400;c (competitors);wind;0;Pinaceae
nie;Larix x eurolaepis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Pinaceae
wysoka;Lathraea squamaria;3;5;3;6;7;6;0.135;NA;NA;NA;NA;NA;0.66685;174906.375;NA;wind;Que-Fag;Orobanchaceae
wysoka;Lathyrus palustris;8;6;NA;8;8;3;0.716666667;170.5;83.43;2578.75;34.43;NA;17.62266667;5.5;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Fabaceae
nie;Lathyrus pratensis;7;5;NA;6;7;6;0.566666667;273.6666667;6.958663343;158.3333333;25.32424035;perennials;12.51950556;541.55;c (competitors);insect;Mol-Arr;Fabaceae
nie;Lathyrus sylvestris;7;6;4;4;8;2;1.333333333;NA;NA;NA;NA;perennials;39.27264;1493.45;c (competitors);selfing;Tri-Ger;Fabaceae
nie;Lathyrus tuberosus;7;6;6;4;8;4;0.65;198.365;14.89404688;548.14;29.90333333;perennials;33.38633333;18.94444444;c (competitors);insect;Ste med;Fabaceae
wysoka;Lemna gibba;8;6;3;11;8;8;0.0045;114.13;0.155;3.35;24.45;NA;NA;NA;NA;wind;Lem min;Lemnaceae
nie;Lemna minor;7;5;3;11;NA;6;0.004;107;0.481395349;9;18.7;NA;NA;NA;NA;wind;Lem min;Lemnaceae
niska;Lemna trisulca;7;6;3;12;7;5;0.005;159;0.189210527;4.135;16.65;NA;NA;NA;NA;wind;Lem min;Lemnaceae
nie;Leontodon autumnalis;7;NA;3;5;5;5;0.066666667;157.7366667;19.67829224;300.03;26.35022361;perennials;0.800855072;3480.736842;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Asteraceae
nie;Leontodon hispidus;8;NA;3;5;7;6;0.235;139.748;69.76107388;2280.666667;26.05775041;perennials;1.114266667;2285.4975;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Asteraceae
nie;Leontodon taraxacoides;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.4;NA;0.2964625;NA;csr (competitors/stress-tolerators/ruderals);insect;0;Asteraceae
nie;Leonurus cardiaca;8;6;6;5;8;9;0.65;NA;NA;NA;NA;NA;0.95216;69732;c (competitors);selfing;Art vul;Lamiaceae
nie;Leonurus marrubiastrum;7;7;8;6;8;8;0.85;240.965;107.3;2760.5;24.42;mixed;0.458;NA;cr (competitors/ruderals);selfing;Art vul;Asteraceae
nie;Lepidium campestre;7;6;3;4;8;6;0.2925;206.795;17.09291165;416.5;25.92;mixed;2.1738;8362.111113;sr (stress-tolerators/ruderals);selfing;0;Brassicaceae
nie;Lepidium densiflorum;8;7;7;4;7;6;0.225;135.15;2.61;156;60.085;annuals;0.262;24997.66667;r (ruderals);selfing;Ste med;Brassicaceae
nie;Lepidium latifolium;9;6;8;5;7;5;0.641666667;164.115;230.185;3621;15.735;NA;0.604866667;2903.863636;c (competitors);selfing;0;Brassicaceae
nie;Lepidium ruderale;9;6;7;4;NA;6;0.133333333;158.5;4.804710646;82.5;20.91571146;annuals;0.183;29299.97917;r (ruderals);selfing;Ste med;Brassicaceae
nie;Leucanthemum maximum;9;4;3;4;7;3;NA;NA;NA;NA;NA;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);selfing;0;Asteraceae
nie;Leucanthemum vulgare;7;NA;3;4;NA;3;0.364;129.6666667;27.12145302;669.6666667;19.28125189;perennials;0.383433333;2420.86875;c (competitors);selfing;Mol-Arr;Asteraceae
nie;Levisticum officinale;NA;NA;NA;NA;NA;NA;1.2;196;2507.6;67588;27;NA;1.394;7252.192308;c (competitors);insect;0;Apiaceae
nie;Leymus arenarius;9;6;NA;6;7;6;0.75;348;1053.253804;7814;7.4;perennials;8.582266667;NA;c (competitors);wind;Amm;Poaceae
nie;Ligustrum vulgare;7;6;3;4;8;3;3.7;273;NA;626.9;11.065;perennials;35.438425;21.84375;c (competitors);selfing;Rha-Pru;Oleaceae
niska;Limosella aquatica;7;6;3;8;7;3;0.0525;135;0.66;18;27.3;NA;0.016506667;2216;r (ruderals);selfing;Iso-Jun;Scrophulariaceae
nie;Linaria genistifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.141;742675.75;csr (competitors/stress-tolerators/ruderals);insect;Art vul;Scrophulariaceae
nie;Linaria vulgaris;8;6;5;4;7;5;0.416666667;189.25;5.678282278;105.3945;19.98333333;perennials;0.174676923;57054.66668;csr (competitors/stress-tolerators/ruderals);insect;Art vul;Scrophulariaceae
niska;Linum catharticum;7;NA;3;NA;7;2;0.116666667;210;0.855255809;26.61666667;31.1675;mixed;0.153873684;277.5791667;sr (stress-tolerators/ruderals);selfing;Mol-Arr;Linaceae
nie;Linum usitatissimum;NA;NA;NA;NA;NA;NA;0.45;163.445;0.905;41.5;46.315;annuals;5.07;11118.55556;r (ruderals);selfing;0;Linaceae
wysoka;Liparis loeselii;8;6;4;9;9;2;0.0575;72.275;21.365;904.75;37.985;perennials;0.004;NA;csr (competitors/stress-tolerators/ruderals);selfing;Sch-Car;Orchideaceae
wysoka;Listera ovata;6;NA;3;6;7;7;0.14;116.94;148.4290645;3720.666667;29.00666667;perennials;NA;337000;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Orchideaceae
nie;Lithospermum arvense;5;6;5;NA;7;5;NA;NA;NA;NA;27.16;NA;NA;NA;cr (competitors/ruderals);selfing;Ste med;Boraginaceae
wysoka;Lithospermum officinale;6;6;5;5;8;5;0.5;213.5;42.65150774;957.5;21.85;perennials;11.52346667;1;c (competitors);selfing;0;Boraginaceae
nie;Lobularia maritima;NA;NA;NA;NA;NA;NA;0.146666667;NA;NA;NA;NA;NA;0.224050633;NA;sr (stress-tolerators/ruderals);selfing;0;Brassicaceae
niska;Logfia arvensis;8;7;5;3;4;2;0.225;224.42;1.945;77;39.06;annuals;0.4;200;sr (stress-tolerators/ruderals);wind;Koe-Cor;Asteraceae
niska;Logfia minima;9;6;3;2;4;1;0.125;367.185;0.2;6.635;32.545;annuals;0.025341;391.3333333;sr (stress-tolerators/ruderals);wind;Koe-Cor;Asteraceae
nie;Lolium multiflorum;7;7;3;4;7;8;0.325;265;26.82177515;606;29.25;mixed;2.9086;3638.761904;c (competitors);wind;0;Poaceae
nie;Lolium perenne;8;6;3;5;7;7;0.125;214.3975;14.52985953;402;25.74377707;mixed;1.975111111;62970.75;c (competitors);wind;Mol-Arr;Poaceae
nie;Lonicera caprifolia;7;7;4;4;8;2;NA;NA;NA;NA;NA;NA;NA;NA;c (competitors);selfing;0;Caprifoliaceae
nie;Lonicera tatarica;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;c (competitors);selfing;0;Caprifoliaceae
wysoka;Lonicera xylosteum;5;6;4;5;7;6;1.748666667;NA;NA;0;24.10941397;perennials;164.07;11000;c (competitors);selfing;Que-Fag;Caprifoliaceae
nie;Lotus corniculatus;7;NA;3;4;7;3;0.429166667;186;4.499233051;132;23.61248968;perennials;1.4034375;10047.66667;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Fabaceae
wysoka;Lotus tenuis;7;6;3;7;8;4;0.9;151.31;3.89;96.85;23.5;NA;NA;45.45833333;cs (competitors/stress-tolerators);insect;Jun mar;Fabaceae
niska;Lotus uliginosus;7;5;2;8;6;4;0.35;NA;NA;NA;31.6;perennials;0.498;70.9;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Fabaceae
nie;Lunaria annua;NA;NA;NA;NA;NA;NA;0.45;114.865;226.565;7897.833333;37.985;NA;18.933;733.8181818;cr (competitors/ruderals);selfing;0;Brassicaceae
nie;Lupinus luteus;NA;NA;NA;NA;NA;NA;0.4;110.33;163.1175;4010.49;25.355;annuals;143.488;363.75;cr (competitors/ruderals);selfing;0;Fabaceae
nie;Lupinus polyphyllus;7;5;4;5;4;NA;1.091666667;179.8125;990.1875;19200.25;22.83759248;perennials;24.34755556;944.4940475;c (competitors);selfing;0;Fabaceae
niska;Luzula campestris;7;NA;3;4;3;3;0.27;245.74;4.315;73;23.40833333;perennials;0.676883077;9859.3;csr (competitors/stress-tolerators/ruderals);wind;Cal-Uli;Juncaceae
niska;Luzula multiflora;7;NA;4;5;5;3;0.183333333;214;24.19486726;549;24.81721467;perennials;0.4007125;14490.90476;cs (competitors/stress-tolerators);wind;0;Juncaceae
wysoka;Luzula pilosa;2;NA;3;5;5;4;0.15;228;26.46637744;664;25.1;NA;0.9704;2336.106897;csr (competitors/stress-tolerators/ruderals);wind;0;Juncaceae
nie;Lychnis flos-cucculi;7;5;3;7;NA;NA;0.4125;140;36.35541635;919;NA;NA;0.1986;120766.4667;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Caryophyllaceae
