kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Prunus spinosa;7;5;5;4;7;NA;1.952;313.5;NA;472.25;14.04680023;perennials;448.2353556;1;c (competitors);selfing;Rha-Pru;Rosaceae
wysoka;Pteridium aquilinum;6;5;3;5;3;3;0.975;298;NA;NA;18.446;NA;NA;300000000;c (competitors);NA;Que rob-pet;Hypolepidaceae
nie;Puccinellia distans;8;6;6;6;7;4;NA;179;8.384732587;282;28.6;NA;0.237125;18589.22223;s (stress-tolerators);wind;Jun mar;Poaceae
niska;Pulicaria vulgaris;9;6;NA;8;6;7;0.385;139.66;6.535;262.01;28.84487971;annuals;0.119757;14505.25;sr (stress-tolerators/ruderals);selfing;Bid tri;Asteraceae
wysoka;Pulmonaria obscura;4;5;6;6;8;7;NA;142.505;191.665;6771.125;37.815;NA;4.3;7.4;csr (competitors/stress-tolerators/ruderals);insect;Que-Fag;Boraginaceae
wysoka;Pulsatilla pratensis;7;6;5;2;7;2;0.175;321.13;270.1;2345.25;9.03;perennials;2.493666667;139.0909091;csr (competitors/stress-tolerators/ruderals);insect;Cal-Uli;Ranunculaceae
wysoka;Pyrola rotundifolia;4;NA;5;6;5;3;0.13;250.29;68.4;1026;17.94829939;NA;0;NA;s (stress-tolerators);selfing;Vac-Pic;Pyrolaceae
nie;Pyrus communis;6;6;5;5;8;NA;20;NA;NA;NA;7.407407407;perennials;25;NA;c (competitors);insect;0;Rosaceae
wysoka;Quercus petraea;6;6;2;5;NA;NA;36.14444444;281.25;NA;3500.325;12.576;perennials;974.7;13626.85;c (competitors);wind;0;Fagaceae
nie;Quercus robur;7;6;6;NA;NA;NA;40;280;NA;2073.533333;15.34191395;perennials;3487.466667;10040.9;c (competitors);wind;0;Fagaceae
nie;Quercus rubra;NA;NA;NA;NA;NA;NA;25;285;NA;5084.9;13.8899105;perennials;3360.1;NA;c (competitors);wind;0;Fagaceae
nie;Ranunculus acris;7;NA;3;6;NA;NA;0.2575;197.05;36.88801265;620.7051613;23.26551303;perennials;1.72743;1248.05;c (competitors);insect;Mol-Arr;Ranunculaceae
wysoka;Ranunculus aquatilis;7;5;2;11;6;6;0.02;118.646;5.428571429;143.3;30.62457542;perennials;NA;17843.33333;NA;selfing;Pot;Ranunculaceae
niska;Ranunculus auricomus;5;6;3;NA;7;NA;0.175;152.5;38.80333282;1276.5;31.93333333;NA;2.320323077;795.5701754;NA;NA;Que-Fag;Ranunculaceae
nie;Ranunculus bulbosus;8;6;3;3;7;3;0.175;188.3333333;55.82497258;1081.333333;18.17959184;perennials;2.867753968;106.2;csr (competitors/stress-tolerators/ruderals);insect;Fes-Bro;Ranunculaceae
wysoka;Ranunculus cassubicus;5;6;3;NA;7;NA;NA;NA;NA;NA;NA;NA;0.44;NA;NA;selfing;Que-Fag;Ranunculaceae
wysoka;Ranunculus circinatus;6;6;5;12;7;8;NA;131.2433333;2.645;53.74;39.11333333;perennials;0.143666667;227.8;NA;selfing;Pot;Ranunculaceae
wysoka;Ranunculus flammula;7;NA;3;9;3;2;0.215;173.91;33.40150528;656.5833333;17.17728668;perennials;0.4472;101215.1667;csr (competitors/stress-tolerators/ruderals);selfing;Sch-Car;Ranunculaceae
wysoka;Ranunculus lanunginosus;3;6;4;6;7;7;0.425;153.62;236.14;5917.375;NA;perennials;1.3;NA;cs (competitors/stress-tolerators);selfing;Que-Fag;Ranunculaceae
wysoka;Ranunculus lingua;7;NA;NA;10;6;7;0.8175;196.3;173.53;2416.75;13.86;NA;1.702366667;127.5;cs (competitors/stress-tolerators);selfing;Phr aus;Ranunculaceae
nie;Ranunculus repens;6;NA;NA;7;NA;7;0.241666667;181.104;193.94;3593.555556;24.53597594;perennials;2.24169697;607.6166667;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Ranunculaceae
niska;Ranunculus sardous;8;6;4;8;NA;7;0.166666667;125.11;21.235;734.5;34.36;perennials;1.38412;88.6;sr (stress-tolerators/ruderals);selfing;Iso-Jun;Ranunculaceae
nie;Ranunculus sceleratus;9;6;NA;9;7;9;0.258333333;123.04;39.07313155;1115.375;34.41333333;annuals;0.130333333;144735.5;sr (stress-tolerators/ruderals);insect;Bid tri;Ranunculaceae
wysoka;Ranunculus trichophyllus;7;NA;NA;12;8;7;NA;161.2233333;5.783333333;150.5;27.45333333;perennials;0.269466667;NA;NA;selfing;Pot;Ranunculaceae
nie;Raphanus raphanistrum;6;5;3;5;4;6;0.32;120;286.6233647;6127.333333;25.63333333;mixed;26.23965;4548;cr (competitors/ruderals);selfing;Ste med;Brassicaceae
nie;Raphanus sativus;NA;NA;NA;NA;NA;NA;0.52;118.12;464.24;10177.26;37.06;annuals;NA;334.5;cr (competitors/ruderals);selfing;0;Brassicaceae
nie;Reseda lutea;7;6;3;3;8;5;0.366666667;155.3333333;59.39153602;1090;17.93333333;mixed;0.677133333;45063.16667;csr (competitors/stress-tolerators/ruderals);insect;Art vul;Resedaceae
nie;Reseda luteola;8;7;3;4;9;6;0.6925;166.4425;58.98227181;1097.125;19.76;perennials;0.292012121;38069.14286;cs (competitors/stress-tolerators);selfing;Art vul;Resedaceae
nie;Reseda odorata;NA;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;NA;NA;NA;r (ruderals);insect;0;Resedaceae
nie;Reynoutria japonica;8;6;2;8;5;7;1.333333333;262;958.8983173;13629.66667;18.92;perennials;NA;NA;c (competitors);insect;Art vul;Polygonaceae
nie;Reynoutria sachalinensis;7;7;2;8;7;8;3;162;5420;51200;NA;perennials;0.5635;NA;c (competitors);insect;Art vul;Polygonaceae
nie;Rhamnus cathartica;7;5;5;4;8;4;4.166666667;236;NA;695.1;NA;perennials;26.09664;4500;c (competitors);insect;Rha-Pru;Rhamnaceae
nie;Rheum rhabarbarum;NA;NA;NA;NA;NA;NA;1.4;NA;NA;NA;NA;NA;19.1;NA;c (competitors);insect;0;Polygonaceae
nie;Rhinanthus serotinus;7;5;3;6;7;2;0.333333333;NA;12.4;273.75;NA;annuals;2.3424;4930.216667;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Scrophulariaceae
nie;Rhus typhina;NA;NA;NA;NA;NA;NA;4.5;NA;NA;NA;NA;NA;9.2;NA;NA;NA;0;Anacardiaceae
nie;Ribes alpinum;5;4;4;NA;8;7;1.383333333;NA;NA;0;16.38650794;NA;161.34335;2185;c (competitors);insect;Que-Fag;Grossulariaceae
nie;Ribes aureum;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;182.4795;NA;c (competitors);insect;0;Grossulariaceae
niska;Ribes nigrum;4;NA;7;9;6;5;1.216666667;256;NA;2989.85;20.03596491;perennials;47.51558334;21;c (competitors);selfing;Aln glu;Grossulariaceae
nie;Ribes rubrum;4;6;7;8;6;6;1.3;269.035;186.465;6206.25;28.23620401;NA;9.162;36.70833333;c (competitors);selfing;0;Grossulariaceae
niska;Ribes spicatum;4;5;7;8;7;7;1.25;NA;NA;NA;34.14114649;NA;NA;3200;c (competitors);selfing;Que-Fag;Grossulariaceae
nie;Ribes uva-crispa;4;5;2;NA;NA;6;0.733333333;226.715;9.695;803.075;22.23158457;perennials;3.1306;43.73684211;c (competitors);selfing;0;Grossulariaceae
nie;Robinia pseudoacacia;5;6;4;4;NA;8;21.25;248;NA;962.1;NA;perennials;19.805;NA;c (competitors);insect;Art vul;Fabaceae
nie;Rorippa amphibia;7;6;7;10;7;8;0.625;110;320.3;12853;30.16038619;perennials;1.873;82.4;cs (competitors/stress-tolerators);selfing;Phr aus;Brassicaceae
nie;Rorippa austriaca;8;7;4;7;8;8;0.775;NA;NA;NA;NA;perennials;0.046;2975;cs (competitors/stress-tolerators);selfing;Art vul;Brassicaceae
nie;Rorippa islandica;7;NA;NA;8;NA;8;0.27375;106.6171429;64.7275;2167.987571;25.6;mixed;0.059757143;25708.65625;cr (competitors/ruderals);selfing;0;Brassicaceae
nie;Rorippa sylvestris;6;6;3;8;8;6;0.283333333;106.5;39.46445235;1154.333333;34.93666667;annuals;0.093922222;156129.8;cs (competitors/stress-tolerators);selfing;Mol-Arr;Brassicaceae
nie;Rosa canina;8;5;3;4;NA;NA;1.666666667;NA;NA;NA;12.31774011;perennials;281.044625;22.5;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rosa dumalis;8;5;3;4;NA;NA;NA;492.22;150.785;1804;10.9661086;NA;898.45;NA;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rosa glauca;8;5;4;4;7;2;2;NA;NA;NA;11.0864745;NA;NA;2070;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rosa multiflora;NA;NA;NA;NA;NA;NA;1.5;280.23;291.25;5549;20.34;NA;5.48;7;c (competitors);insect;0;Rosaceae
wysoka;Rosa rubiginosa;7;6;2;3;8;3;1.5;448.63;93.9425;917.285;11.63;NA;15.34673333;35.08333333;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rosa rugosa;NA;NA;NA;NA;NA;NA;1.25;307.65;387.418;4192.666667;10.65805638;NA;5.426;617.7666667;c (competitors);insect;0;Rosaceae
nie;Rosa sherardii;NA;NA;NA;NA;NA;NA;1.375;NA;NA;NA;NA;NA;12.062;3066.571429;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rosa virginiana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Rosaceae
nie;Rubus caesius;6;5;4;NA;8;7;0.475;386.6666667;553.5809809;9655.333333;19.3;perennials;3.7628451;206;c (competitors);selfing;Art vul;Rosaceae
nie;Rubus capitulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Rosaceae
nie;Rubus discolor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Rosaceae
nie;Rubus gracilis;NA;NA;NA;NA;NA;NA;1.4;NA;NA;NA;NA;NA;NA;NA;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rubus idaeus;7;NA;NA;NA;NA;6;1.2;283.78;110.95;NA;24.28140541;perennials;95.70412222;2439.835714;c (competitors);selfing;Epi ang;Rosaceae
nie;Rubus lacinatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Rosaceae
niska;Rubus nessensis;NA;NA;NA;NA;NA;NA;1.25;NA;NA;NA;NA;NA;NA;NA;c (competitors);selfing;Rha-Pru;Rosaceae
nie;Rubus plicatus;NA;NA;NA;NA;NA;NA;1.4;NA;NA;NA;NA;perennials;3.738;NA;c (competitors);selfing;Rha-Pru;Rosaceae
niska;Rubus schleicheri;NA;NA;NA;NA;NA;NA;0.2;NA;NA;NA;NA;NA;NA;NA;c (competitors);selfing;0;Rosaceae
niska;Rubus villicaulis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Rosaceae
nie;Rudbeckia laciniata;7;6;5;8;7;7;1.35;NA;NA;NA;NA;NA;2.828666667;NA;c (competitors);insect;Art vul;Asteraceae
nie;Rumex acetosa;8;NA;NA;NA;NA;6;0.505;102.11;128.532105;2014.9275;29.44306409;perennials;0.944641667;413.6941176;c (competitors);wind;Mol-Arr;Polygonaceae
nie;Rumex acetosella;8;5;3;3;2;2;0.15;113.932;9.713070759;204.6666667;24.66853631;mixed;0.36007;3892.333333;csr (competitors/stress-tolerators/ruderals);wind;Koe-Cor;Polygonaceae
wysoka;Rumex aquaticus;7;6;7;8;7;8;1;144.135;1226.875;22028.25;24.935;NA;2.13216;4559;cs (competitors/stress-tolerators);wind;0;Polygonaceae
nie;Rumex confertus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Mol-Arr;Polygonaceae
nie;Rumex conglomeratus;8;6;3;7;NA;8;0.725;179;190.2946116;4190;22;perennials;0.899563158;336;c (competitors);wind;0;Polygonaceae
nie;Rumex crispus;7;5;3;7;NA;6;0.641666667;105;239.6959134;6290;24.09688414;mixed;2.324242857;16830.96667;c (competitors);wind;Mol-Arr;Polygonaceae
niska;Rumex hydrolapathum;7;6;3;10;7;7;1.575;150.615;2249.81063;37973.325;18.785;NA;3.562761538;NA;cs (competitors/stress-tolerators);wind;Phr aus;Polygonaceae
nie;Rumex longifolius;8;6;NA;5;NA;8;0.733333333;NA;NA;NA;29.9;NA;3.09515;2482.642857;c (competitors);wind;Art vul;Polygonaceae
nie;Rumex maritimus;8;7;NA;9;8;9;0.625;135.845;215.5466239;5718;32.60209547;perennials;0.2308625;41738.66667;sr (stress-tolerators/ruderals);wind;Bid tri;Polygonaceae
nie;Rumex obtusifolius;7;5;3;6;NA;9;0.508333333;145.7633333;1449.891121;43260.25;29.73454415;perennials;1.155;20215.54167;c (competitors);wind;Art vul;Polygonaceae
wysoka;Rumex sanguineus;4;6;2;8;7;7;0.7875;202;188.9898072;4734;25;perennials;1.06821;594.0833333;cs (competitors/stress-tolerators);wind;Art vul;Polygonaceae
nie;Rumex thyrsiflorus;8;7;7;3;7;4;0.575;130.52;139.98;2751.25;21.205;NA;0.634625;1431.363636;c (competitors);wind;Mol-Arr;Polygonaceae
niska;Sagina nodosa;8;6;3;8;8;5;0.063333333;238.86;0.95;17;15.49666667;perennials;0.033271429;140;csr (competitors/stress-tolerators/ruderals);selfing;Iso-Jun;Caryophyllaceae
nie;Sagina procumbens;7;NA;3;5;7;6;0.13;217;0.425;8;19.25;mixed;0.015703704;773821.0416;csr (competitors/stress-tolerators/ruderals);selfing;Pol-Poe;Caryophyllaceae
wysoka;Sagittaria sagittifolia;7;6;4;10;7;6;0.42;106.134;354.65;6404.9;33.438;NA;1.557833333;1616.272727;cs (competitors/stress-tolerators);insect;Phr aus;Alismataceae
nie;Salix acutifolia;NA;NA;NA;NA;NA;NA;6.5;NA;NA;NA;17.57469244;NA;NA;NA;c (competitors);wind;0;Salicaceae
nie;Salix alba;5;6;6;8;8;7;15.16666667;298.615;63.3575;782.125;11.89367003;perennials;0.12;49581.33333;c (competitors);insect;Sal pur;Salicaceae
niska;Salix aurita;7;NA;3;8;4;3;1.5;NA;NA;0;11.32409639;perennials;NA;2314705.5;c (competitors);insect;Aln glu;Salicaceae
nie;Salix caprea;7;NA;3;6;7;7;6;255.3333333;NA;2046.325;14.82975392;perennials;0.0968;8903450.5;c (competitors);insect;Rha-Pru;Salicaceae
nie;Salix cinerea;7;NA;5;9;5;4;2.75;438.765;152.705;662.875;10.00800798;perennials;0.067;8674458.75;c (competitors);insect;Aln glu;Salicaceae
nie;Salix fragilis;5;5;3;8;6;6;10.66666667;NA;NA;NA;9.610710776;perennials;0.117;NA;c (competitors);insect;Sal pur;Salicaceae
niska;Salix pentandra;7;5;7;8;6;4;6.333333333;250.47;48.18;1011;18.41860115;perennials;0.096;36047.5;c (competitors);insect;Aln glu;Salicaceae
nie;Salix purpurea;NA;NA;NA;NA;NA;NA;2.166666667;NA;NA;NA;9.496676163;perennials;0.09;7412;c (competitors);insect;Sal pur;Salicaceae
niska;Salix rosmarinifolia;8;5;6;8;5;2;NA;NA;NA;NA;NA;NA;NA;NA;cs (competitors/stress-tolerators);insect;Aln glu;Salicaceae
nie;Salix triandra;7;5;5;8;7;5;4.583333333;396.715;85.765;628.3333333;11.71663438;NA;0.02;246209.3333;c (competitors);insect;Sal pur;Salicaceae
nie;Salix viminalis;7;6;7;8;7;NA;3.833333333;NA;32.5425;347.125;12.05583774;NA;NA;13216382.25;cs (competitors/stress-tolerators);insect;Sal pur;Salicaceae
nie;Salix x rubens;5;6;NA;8;6;6;NA;NA;NA;NA;NA;NA;NA;NA;c (competitors);insect;Sal pur;Salicaceae
nie;Salix x sepulcaris 'Chryzosoma';NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Salicaceae
nie;Salsola collina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Chenopodiacee
nie;Salsola kali;9;7;NA;NA;7;8;0.5125;86.74;6.835;62.5;9.515;annuals;5.8276;895.7;sr (stress-tolerators/ruderals);wind;Ste med;Chenopodiacee
nie;Salvia glutinosa;4;5;4;6;7;7;0.475;102.89;213.42;11482.75;54.74;NA;4.682;NA;cs (competitors/stress-tolerators);insect;Que-Fag;Lamiaceae
wysoka;Salvia pratensis;8;6;4;3;8;4;0.441666667;171;NA;6575.938;25.34666667;perennials;2.56589;2441.732353;csr (competitors/stress-tolerators/ruderals);selfing;Fes-Bro;Lamiaceae
nie;Sambucus nigra;7;5;3;5;NA;9;5.875;201;NA;1068.225;20.15574275;perennials;40.9057;5;c (competitors);selfing;Rha-Pru;Caprifoliaceae
nie;Sambucus racemosa;6;4;4;5;5;8;3.125;175.105;343.105;12752.91667;28.75111111;perennials;32.5;15517.21429;c (competitors);selfing;Epi ang;Caprifoliaceae
wysoka;Sanguisorba minor;7;6;5;3;8;2;0.208333333;311.1022222;159.720976;3124.25;20.50183333;perennials;4.242316667;2595.25;csr (competitors/stress-tolerators/ruderals);wind;Fes-Bro;Rosaceae
niska;Sanguisorba officinalis;7;5;7;6;NA;5;0.475;271.6666667;105.2219543;2372.666667;22.05955504;perennials;2.352820988;8219.272727;cs (competitors/stress-tolerators);selfing;Mol-Arr;Rosaceae
nie;Saponaria officinalis;7;6;3;5;7;5;0.458333333;199.5;108.2668902;2165.5;23.35;perennials;1.51482807;5536.166667;c (competitors);selfing;Art vul;Caryophyllaceae
nie;Sarothamnus scoparius;8;5;2;4;3;4;1.05;200;NA;19.6;NA;perennials;7.397333333;NA;c (competitors);selfing;Rha-Pru;Fabaceae
wysoka;Saxifraga granulata;NA;6;2;4;5;3;0.166666667;83.5;18.05484695;519.5;33.56666667;perennials;0.030126667;445273.5557;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Saxifragaceae
nie;Saxifraga tridactylites;8;6;2;2;7;1;0.048333333;117.88;2.12245614;38;23.07;annuals;0.01372;293.7857143;sr (stress-tolerators/ruderals);selfing;Fes-Bro;Saxifragaceae
niska;Scabiosa ochroleuca;8;7;6;3;8;2;0.275;248.94;32.695;426;11.71;perennials;1.471666667;117.0454545;csr (competitors/stress-tolerators/ruderals);selfing;Fes-Bro;Dipsacaceae
wysoka;Schoenoplectus tabernaemontani;8;7;6;10;9;6;NA;NA;NA;NA;NA;NA;NA;NA;cs (competitors/stress-tolerators);wind;Phr aus;Cyperaceae
wysoka;Schoenus ferrugineus;9;4;4;8;7;2;0.225;310.6625;15.59;98.95;8.7575;perennials;0.25125;478.51;csr (competitors/stress-tolerators/ruderals);wind;Sch-Car;Cyperaceae
nie;Scilla bifolia;5;7;5;7;7;6;0.15;78.61;53.45;2376.75;41.45;NA;9.55;17.33333333;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Liliaceae
nie;Scilla sibirica;NA;NA;NA;NA;NA;NA;0.115;103.88;17.145;477;27.78;perennials;NA;12.63636364;csr (competitors/stress-tolerators/ruderals);insect;0;Liliaceae
niska;Scirpus lacustris;8;6;3;11;7;6;2.5;186.5;32.85823128;732.5;19.06666667;NA;2.081625;306.1607143;cs (competitors/stress-tolerators);wind;Phr aus;Cyperaceae
wysoka;Scirpus maritimus;8;6;NA;10;8;7;0.65;278.34;136.515;1632.5;12.42;perennials;3.1170625;94.53448276;cs (competitors/stress-tolerators) - cs (competitors/stress-tolerators);wind;Phr aus;Cyperaceae
niska;Scirpus sylvaticus;6;5;4;8;4;4;0.775;215.51;301.4202531;6962.625;22.47;perennials;0.124723077;142978.05;cs (competitors/stress-tolerators);wind;Mol-Arr;Cyperaceae
nie;Scleranthus annuus;6;5;4;5;2;5;0.09;135.515;0.633333333;9.935;27.605;annuals;1.382694737;1979.15;r (ruderals);selfing;Ste med;Caryophyllaceae
nie;Scleranthus perennis;8;6;4;2;4;1;0.1625;215.62;0.25;4.62;18.93;perennials;1.38335;319.725;s (stress-tolerators);selfing;Koe-Cor;Caryophyllaceae
niska;Scrophularia nodosa;4;5;3;6;6;7;0.583333333;182;313.5979769;8166;26;perennials;0.0952;43427.89286;cs (competitors/stress-tolerators);insect;Que-Fag;Scrophulariaceae
niska;Scrophularia umbrosa;7;6;5;9;8;7;0.641666667;148.535;123.565;3792.72;31.825;perennials;0.084966667;NA;cs (competitors/stress-tolerators);selfing;Phr aus;Scrophulariaceae
niska;Scutellaria galericulata;7;6;5;9;7;6;0.241666667;211.0433333;16.10609335;640.4166667;39.55;perennials;0.689433333;9077.333335;csr (competitors/stress-tolerators/ruderals);selfing;Aln glu;Lamiaceae
wysoka;Scutellaria hastifolia;7;7;6;8;7;5;0.25;216.84;3.225;112;36.12;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Lamiaceae
nie;Secale cereale;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38.64;NA;NA;NA;0;Poaceae
nie;Sedum acre;8;6;3;2;NA;1;0.056666667;64;NA;NA;10.9;perennials;0.0384;337587.6733;s (stress-tolerators);selfing;Koe-Cor;Crassulaceae
nie;Sedum maximum;8;6;4;3;5;3;NA;63;38.14976303;936;NA;NA;0.04064;39313.75;cs (competitors/stress-tolerators);selfing;Tri-Ger;Crassulaceae
nie;Sedum reflexum;7;5;4;2;5;1;0.178333333;72.58;3.16;35.335;NA;NA;0.056666667;NA;s (stress-tolerators);selfing;Koe-Cor;Crassulaceae
wysoka;Sedum sexangulare;7;5;4;2;6;1;0.1575;108.18;0.5;6.19;13.67;perennials;0.01;162.25;s (stress-tolerators);selfing;Koe-Cor;Crassulaceae
nie;Sedum spurium;8;6;4;3;5;3;0.125;77.28;7.725;156;13.29333333;perennials;0.09;NA;s (stress-tolerators);selfing;0;Crassulaceae
niska;Selinum carvifolia;7;5;5;7;5;3;0.483333333;226.965;346.5925;6043.335;18.70333333;perennials;1.502977778;19066.30208;cs (competitors/stress-tolerators);insect;Mol-Arr;Apiaceae
wysoka;Senecio aquaticus;7;6;2;8;4;5;0.315;120.3333333;185.6054021;3784;25.33333333;perennials;0.377128571;5327.484848;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Asteraceae
nie;Senecio jacobaea;8;5;3;4;7;5;0.5;124.7425;270.044708;7365;25.49571429;mixed;0.327055833;18143.90625;c (competitors);insect;Tri-Ger;Asteraceae
niska;Senecio sylvaticus;8;6;3;5;5;8;0.375;114;180.9838344;5336;29.5;NA;0.241066667;34390.22222;cr (competitors/ruderals);selfing;Epi ang;Asteraceae
nie;Senecio vernalis;7;6;6;4;7;6;0.26;88.92;52.13;1464.85;25.03;mixed;0.158;4000;r (ruderals);insect;Koe-Cor;Asteraceae
nie;Senecio viscosus;8;6;4;3;NA;4;0.3;120;68.11484577;1560;22.46666667;annuals;0.537166667;45172.16667;sr (stress-tolerators/ruderals);selfing;Ste med;Asteraceae
nie;Senecio vulgaris;7;NA;NA;5;NA;8;0.2;84;17.58510305;513;29.82;mixed;0.269;43059.15556;r (ruderals);selfing;Ste med;Asteraceae
wysoka;Serratula tinctoria;6;6;5;NA;7;3;0.5;190.6933333;165.0552904;4699.35;19.612;perennials;2.72874;NA;c (competitors);insect;0;Asteraceae
wysoka;Seseli annuum;8;7;5;3;9;2;NA;NA;NA;NA;NA;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);insect;Fes-Bro;Apiaceae
wysoka;Seseli libanotis;7;NA;5;3;8;2;0.466666667;172.47;512.43;11428;24.59;NA;1.5367;39887.83333;c (competitors);insect;0;Apiaceae
nie;Setaria pumila;7;7;4;4;5;6;0.46;216.37;75.09;1890.75;22.5805;annuals;1.76825;8344.2807;r (ruderals);selfing;Ste med;Poaceae
nie;Setaria verticillata;7;7;4;4;NA;7;0.45;NA;NA;NA;NA;annuals;0.995;1559.428571;cr (competitors/ruderals);selfing;Ste med;Poaceae
nie;Setaria viridis;7;6;NA;4;NA;7;0.5125;274.61;40.74333333;1000.75;24.12;annuals;1.092285714;9041.421053;r (ruderals);wind;Ste med;Poaceae
nie;Sicyos angulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Art vul;Cucurbitaceae
niska;Silaum silaus;7;6;5;NA;7;3;0.483333333;287.3333333;318.2785388;5888;17.43333333;perennials;1.749375;186016.6667;c (competitors);insect;Mol-Arr;Apiaceae
nie;Silene alba;8;6;NA;4;NA;7;0.475;142.5;78.06488661;1762.5;NA;NA;0.964555556;63999.86666;c (competitors);insect;Art vul;Caryophyllaceae
wysoka;Silene chlorantha;7;6;8;2;8;2;0.1;229.42;16.805;201.25;12;NA;NA;4689.181818;csr (competitors/stress-tolerators/ruderals);insect;Koe-Cor;Caryophyllaceae
nie;Silene conica;9;7;4;2;5;2;0.115;NA;NA;NA;NA;NA;0.32424;330.9230769;sr (stress-tolerators/ruderals);selfing;Koe-Cor;Caryophyllaceae
nie;Silene noctiflora;7;6;4;3;8;5;0.22;172.5;81.09086521;1882.5;21.9;mixed;1.081026667;1693.5;r (ruderals);selfing;Ste med;Caryophyllaceae
wysoka;Silene nutans;7;NA;5;3;7;3;0.316666667;168;60.25777716;1277;21.92333333;perennials;0.322707692;34716.43333;csr (competitors/stress-tolerators/ruderals);selfing;Tri-Ger;Caryophyllaceae
nie;Silene otites;8;7;7;2;7;2;0.291666667;227.305;21.195;170;13.01;NA;0.210666667;1112.5;s (stress-tolerators);insect;Fes-Bro;Caryophyllaceae
nie;Silene tatarica;NA;NA;NA;NA;NA;NA;0.3;NA;NA;NA;NA;NA;0.165466667;NA;csr (competitors/stress-tolerators/ruderals);selfing;Koe-Cor;Caryophyllaceae
nie;Silene vulgaris;8;NA;NA;4;7;4;0.27;166;63.76327682;1179.5;20.07;perennials;0.939154074;426.48;csr (competitors/stress-tolerators/ruderals);selfing;0;Caryophyllaceae
nie;Silybum marianum;NA;NA;NA;NA;NA;NA;0.85;NA;NA;NA;NA;NA;22.7512;NA;cr (competitors/ruderals);insect;0;Caryophyllaceae
nie;Sinapis alba;NA;NA;NA;NA;NA;NA;0.385;141.095;84.21;2316;20.345;annuals;3.85288;3926.333333;cr (competitors/ruderals);insect;0;Brassicaceae
nie;Sinapis arvensis;7;5;3;NA;8;6;0.383333333;109.6666667;326.7011419;9290.666667;39.00888889;annuals;2.347147619;8063.833334;cr (competitors/ruderals);selfing;Ste med;Brassicaceae
nie;Sisymbrium altissimum;8;6;7;4;7;4;0.54625;125.98;264.3351184;6618.546667;21.19333333;mixed;0.2315;334180;cr (competitors/ruderals);selfing;Ste med;Brassicaceae
nie;Sisymbrium loeselii;7;6;7;4;7;5;0.434;194.588;131.6606082;3960.1;18.006;perennials;0.1036;749902.6667;cr (competitors/ruderals);selfing;Ste med;Brassicaceae
nie;Sisymbrium officinale;8;6;5;4;NA;7;0.416666667;139;230.9858148;6344.333333;26.71666667;annuals;0.270333333;59364.72222;cr (competitors/ruderals);selfing;Ste med;Brassicaceae
nie;Sisymbrium strictissimum;6;7;4;6;8;7;0.6;NA;NA;NA;NA;NA;0.38876;NA;c (competitors);selfing;Art vul;Brassicaceae
niska;Sium latifolium;7;6;4;10;7;7;1.4125;152.15;262.5675;14522.41667;42.41179911;perennials;1.151633333;542.75;cs (competitors/stress-tolerators);selfing;Phr aus;Apiaceae
nie;Solanum dulcamara;7;5;NA;8;NA;8;0.866666667;170.5616667;82.3569254;1903.258333;34.656;perennials;29.89211029;4227.733334;c (competitors);insect;Aln glu;Solanaceae
nie;Solanum luteum;8;7;3;5;7;7;NA;NA;NA;NA;NA;NA;NA;NA;r (ruderals);selfing;0;Solanaceae
