"station";"date";"temp";"day";"month";"year"
"313";"Kasprowy Wierch";1966-11-09;5.3;9;11;1966
"314";"Kasprowy Wierch";1966-11-10;4.5;10;11;1966
"315";"Kasprowy Wierch";1966-11-11;-2.6;11;11;1966
"316";"Kasprowy Wierch";1966-11-12;-8.1;12;11;1966
"317";"Kasprowy Wierch";1966-11-13;-6.8;13;11;1966
"318";"Kasprowy Wierch";1966-11-14;-4.8;14;11;1966
"319";"Kasprowy Wierch";1966-11-15;-10;15;11;1966
"320";"Kasprowy Wierch";1966-11-16;-9.5;16;11;1966
"321";"Kasprowy Wierch";1966-11-17;-5.9;17;11;1966
"322";"Kasprowy Wierch";1966-11-18;-4.4;18;11;1966
"323";"Kasprowy Wierch";1966-11-19;-3;19;11;1966
"324";"Kasprowy Wierch";1966-11-20;-6.1;20;11;1966
"325";"Kasprowy Wierch";1966-11-21;-5.5;21;11;1966
"326";"Kasprowy Wierch";1966-11-22;-8;22;11;1966
"327";"Kasprowy Wierch";1966-11-23;-4.5;23;11;1966
"328";"Kasprowy Wierch";1966-11-24;-2.4;24;11;1966
"329";"Kasprowy Wierch";1966-11-25;-8.2;25;11;1966
"330";"Kasprowy Wierch";1966-11-26;-10.1;26;11;1966
"331";"Kasprowy Wierch";1966-11-27;-8.9;27;11;1966
"332";"Kasprowy Wierch";1966-11-28;-6.8;28;11;1966
"333";"Kasprowy Wierch";1966-11-29;-8.4;29;11;1966
"334";"Kasprowy Wierch";1966-11-30;-10.2;30;11;1966
"335";"Kasprowy Wierch";1966-12-01;-10;1;12;1966
"336";"Kasprowy Wierch";1966-12-02;-1.8;2;12;1966
"337";"Kasprowy Wierch";1966-12-03;-2.7;3;12;1966
"338";"Kasprowy Wierch";1966-12-04;-8.8;4;12;1966
"339";"Kasprowy Wierch";1966-12-05;-9;5;12;1966
"340";"Kasprowy Wierch";1966-12-06;-5;6;12;1966
"341";"Kasprowy Wierch";1966-12-07;-2.7;7;12;1966
"342";"Kasprowy Wierch";1966-12-08;-1.2;8;12;1966
"343";"Kasprowy Wierch";1966-12-09;-4.9;9;12;1966
"344";"Kasprowy Wierch";1966-12-10;-9.1;10;12;1966
"345";"Kasprowy Wierch";1966-12-11;-9.4;11;12;1966
"346";"Kasprowy Wierch";1966-12-12;-10.9;12;12;1966
"347";"Kasprowy Wierch";1966-12-13;-6.3;13;12;1966
"348";"Kasprowy Wierch";1966-12-14;-7.9;14;12;1966
"349";"Kasprowy Wierch";1966-12-15;-10.4;15;12;1966
"350";"Kasprowy Wierch";1966-12-16;-13.4;16;12;1966
"351";"Kasprowy Wierch";1966-12-17;-10.4;17;12;1966
"352";"Kasprowy Wierch";1966-12-18;-4.8;18;12;1966
"353";"Kasprowy Wierch";1966-12-19;-7.8;19;12;1966
"354";"Kasprowy Wierch";1966-12-20;-8;20;12;1966
"355";"Kasprowy Wierch";1966-12-21;-12.2;21;12;1966
"356";"Kasprowy Wierch";1966-12-22;-13;22;12;1966
"357";"Kasprowy Wierch";1966-12-23;-12.5;23;12;1966
"358";"Kasprowy Wierch";1966-12-24;-7.1;24;12;1966
"359";"Kasprowy Wierch";1966-12-25;-10.7;25;12;1966
"360";"Kasprowy Wierch";1966-12-26;-12.9;26;12;1966
"361";"Kasprowy Wierch";1966-12-27;-14;27;12;1966
"362";"Kasprowy Wierch";1966-12-28;-9.3;28;12;1966
"363";"Kasprowy Wierch";1966-12-29;-5.1;29;12;1966
"364";"Kasprowy Wierch";1966-12-30;-5;30;12;1966
"365";"Kasprowy Wierch";1966-12-31;-8;31;12;1966
"366";"Kasprowy Wierch";1967-01-01;-5.8;1;1;1967
"367";"Kasprowy Wierch";1967-01-02;-11.7;2;1;1967
"368";"Kasprowy Wierch";1967-01-03;-12.7;3;1;1967
"369";"Kasprowy Wierch";1967-01-04;-13.8;4;1;1967
"370";"Kasprowy Wierch";1967-01-05;-14;5;1;1967
"371";"Kasprowy Wierch";1967-01-06;-14.6;6;1;1967
"372";"Kasprowy Wierch";1967-01-07;-14;7;1;1967
"373";"Kasprowy Wierch";1967-01-08;-10.6;8;1;1967
"374";"Kasprowy Wierch";1967-01-09;-11.8;9;1;1967
"375";"Kasprowy Wierch";1967-01-10;-16.1;10;1;1967
"376";"Kasprowy Wierch";1967-01-11;-11.9;11;1;1967
"377";"Kasprowy Wierch";1967-01-12;-13.1;12;1;1967
"378";"Kasprowy Wierch";1967-01-13;-10.9;13;1;1967
"379";"Kasprowy Wierch";1967-01-14;-10.2;14;1;1967
"380";"Kasprowy Wierch";1967-01-15;-14.4;15;1;1967
"381";"Kasprowy Wierch";1967-01-16;-17.8;16;1;1967
"382";"Kasprowy Wierch";1967-01-17;-14.2;17;1;1967
"383";"Kasprowy Wierch";1967-01-18;-8.6;18;1;1967
"384";"Kasprowy Wierch";1967-01-19;-7.1;19;1;1967
"385";"Kasprowy Wierch";1967-01-20;-4.4;20;1;1967
"386";"Kasprowy Wierch";1967-01-21;-5.7;21;1;1967
"387";"Kasprowy Wierch";1967-01-22;-5;22;1;1967
"388";"Kasprowy Wierch";1967-01-23;-8.6;23;1;1967
"389";"Kasprowy Wierch";1967-01-24;-9.5;24;1;1967
"390";"Kasprowy Wierch";1967-01-25;-8.1;25;1;1967
"391";"Kasprowy Wierch";1967-01-26;-7.1;26;1;1967
"392";"Kasprowy Wierch";1967-01-27;-10.2;27;1;1967
"393";"Kasprowy Wierch";1967-01-28;-10.8;28;1;1967
"394";"Kasprowy Wierch";1967-01-29;-3;29;1;1967
"395";"Kasprowy Wierch";1967-01-30;-5.4;30;1;1967
"396";"Kasprowy Wierch";1967-01-31;-4.5;31;1;1967
"397";"Kasprowy Wierch";1967-02-01;-3.2;1;2;1967
"398";"Kasprowy Wierch";1967-02-02;-5.5;2;2;1967
"399";"Kasprowy Wierch";1967-02-03;-2.3;3;2;1967
"400";"Kasprowy Wierch";1967-02-04;-4.5;4;2;1967
"401";"Kasprowy Wierch";1967-02-05;-9;5;2;1967
"402";"Kasprowy Wierch";1967-02-06;-7.3;6;2;1967
"403";"Kasprowy Wierch";1967-02-07;-4.8;7;2;1967
"404";"Kasprowy Wierch";1967-02-08;-12;8;2;1967
"405";"Kasprowy Wierch";1967-02-09;-15.7;9;2;1967
"406";"Kasprowy Wierch";1967-02-10;-15.9;10;2;1967
"407";"Kasprowy Wierch";1967-02-11;-15.9;11;2;1967
"408";"Kasprowy Wierch";1967-02-12;-17.4;12;2;1967
"409";"Kasprowy Wierch";1967-02-13;-12.8;13;2;1967
"410";"Kasprowy Wierch";1967-02-14;-11.5;14;2;1967
"411";"Kasprowy Wierch";1967-02-15;-9;15;2;1967
"412";"Kasprowy Wierch";1967-02-16;-9.4;16;2;1967
"413";"Kasprowy Wierch";1967-02-17;-10;17;2;1967
"414";"Kasprowy Wierch";1967-02-18;-7.5;18;2;1967
"415";"Kasprowy Wierch";1967-02-19;-5;19;2;1967
"416";"Kasprowy Wierch";1967-02-20;-6.4;20;2;1967
"417";"Kasprowy Wierch";1967-02-21;-8.1;21;2;1967
