m34k;m34n;m89k;m89n;m13k;m13n;m105k;m105n;m106k;m106n;m14k;m14n;m35k;m35n;m8bk;m8bn;m61k;m61n;m48ak;m48an;m41k;m41n
Cys.fra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Dap.mez;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Del.oxy;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Des.ces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Des.fle;0;4;0;0;0;2;0;3;0;3;2;2;0;3;2;2;0;0;0;3;0;2
Dia.gla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dig.gra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dor.aus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3
Dor.clu;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;1;0;0
Dry.car;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Dry.dil;0;0;0;0;0;3;0;0;0;0;3;3;0;0;2;3;0;2;2;2;0;0
Dry.fil;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;3;0;2;0;0;0;0
Ely.can;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Emp.her;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epi.alp;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0
Epi.als;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2
Epi.ana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Epi.ang;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;2
Epi.mon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Equ.arv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Equ.syl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
